SKU,category,subcategory
BUNDLE-BEACH-KIT-TOWLB-SUM-X2-UNICN-XL-SETE,,
BUNDLE-BEACH-OCNWAVS,,
BUNDLE-BEACH-SETA,Towel - Beach,Towel - Beach CORE
BUNDLE-BEACH-SETB,Towel - Beach,Towel - Beach CORE
BUNDLE-BEACH-SETC,Towel - Beach,Towel - Beach CORE
BUNDLE-BEAUTY-CHRYBMB,,
BUNDLE-BEAUTY-GIFT-MAKUP-HAIRW-CLA-LTBLU,,
BUNDLE-BEAUTY-GIFT-MAKUP-HAIRW-CLA-LTGRN,,
BUNDLE-BEAUTY-GIFT-MAKUP-HAIRW-CLA-LTPNK,,
BUNDLE-CAMP-BLUE1,Towel - Beach,Towel - Beach CORE
BUNDLE-CAMP-GREEN1,Towel - Beach,Towel - Beach CORE
BUNDLE-CAMP-SETA,Towel - Beach,Towel - Beach CORE
BUNDLE-COLLAB-CUBES-TOWLB-LG-LTPPL,Towel - Beach,Towel - Beach CORE
BUNDLE-FAMILY-LG-BLUEBRIGH,,
BUNDLE-FAMILY-LG-CLCHAOS,,
BUNDLE-FAMILY-TOWLB-CAB-LG-SETA,Towel - Beach,Towel - Beach CORE
BUNDLE-FAMILY-TOWLB-CAB-LG-SETB,Towel - Beach,Towel - Beach CORE
BUNDLE-FAMILY-TOWLB-CAB-XL-SETA,Towel - Beach,Towel - Beach CORE
BUNDLE-FAMILY-TOWLB-CAB-XL-SETB,Towel - Beach,Towel - Beach CORE
BUNDLE-FAMILY-TOWLB-SUM-LG-UNICN,Towel - Beach,Towel - Beach CORE
BUNDLE-FAMILY-TOWLB-SUM-XL-UNICN,Towel - Beach,Towel - Beach CORE
BUNDLE-FITNESS-LG-CABCLIMB,,
BUNDLE-FITNESS-LG-MRNMTHN,,
BUNDLE-FITNESS-LG-MTNMOVE,,
BUNDLE-FITNESS-LG-PKPERF,,
BUNDLE-HAIRW-MAKUP-CAB-LTPNK,,
BUNDLE-HAIRW-MAKUP-HOM-LTBLU,,
BUNDLE-HAIRW-MAKUP-HOM-LTGRN,,
BUNDLE-HAIRW-MAKUP-HOM-LTPNK,,
BUNDLE-HAIRW-MAKUP-HOM-NAVY,,
BUNDLE-HAIRW-MAKUP-HOM-TERRA,,
BUNDLE-HAIRW-TOWLB-ANI-COW,,
BUNDLE-HAIRW-TOWLB-ANI-DALMA,,
BUNDLE-HAIRW-TOWLB-ANI-LEOPD,,
BUNDLE-HAIRW-TOWLB-ANI-SNAKE,,
BUNDLE-HAIRW-TOWLB-ANI-TIGER,,
BUNDLE-HAIRW-TOWLB-BOT-BANA,,
BUNDLE-HAIRW-TOWLB-BOT-HIBI,,
BUNDLE-HAIRW-TOWLB-BOT-ORCH,,
BUNDLE-HAIRW-TOWLB-BOT-PALM,,
BUNDLE-HAIRW-TOWLB-BOT-PARA,,
BUNDLE-HAIRW-TOWLB-CAB-LTBGE,,
BUNDLE-HAIRW-TOWLB-CAB-LTBLU,,
BUNDLE-HAIRW-TOWLB-CAB-LTGRE,,
BUNDLE-HAIRW-TOWLB-CAB-LTGRY,,
BUNDLE-HAIRW-TOWLB-CAB-LTPCH,,
BUNDLE-HAIRW-TOWLB-CAB-LTPNK,,
BUNDLE-HAIRW-TOWLB-CAB-LTPPL,,
BUNDLE-HAIRW-TOWLB-CAB-NAVY,,
BUNDLE-HAIRW-TOWLB-FLO-BLOOM,,
BUNDLE-HAIRW-TOWLB-FLO-DAISY,,
BUNDLE-HAIRW-TOWLB-FLO-PALM,,
BUNDLE-HAIRW-TOWLB-FLO-SUNFL,,
BUNDLE-HAIRW-TOWLB-SUM-RAINB,,
BUNDLE-HAIRW-TOWLB-SUM-UNICN,,
BUNDLE-HAIRW-TOWLH-HID-BLACK,,
BUNDLE-HAIRW-TOWLH-HID-BLUE,,
BUNDLE-HAIRW-TOWLH-HID-GREEN,,
BUNDLE-HAIRW-TOWLH-HID-PINK,,
BUNDLE-HAIRW-TOWLH-HOM-LTBLU,,
BUNDLE-HAIRW-TOWLH-HOM-LTGRN,,
BUNDLE-HAIRW-TOWLH-HOM-LTPNK,,
BUNDLE-HAIRW-TOWLH-HOM-NAVY,,
BUNDLE-HAIRW-TOWLH-HOM-TERRA,,
BUNDLE-HAIRW-TOWLH-HOM-WHITE,,
BUNDLE-HAIRW-TOWLH-RET-CONG,,
BUNDLE-HAIRW-TOWLH-RET-MONT,,
BUNDLE-HAIRW-TOWLH-RET-SANT,,
BUNDLE-HAIRW-TOWLH-RET-SAPO,,
BUNDLE-HAIRW-TOWLH-RET-SINH,,
BUNDLE-JETSET-LG-COSMO,,
BUNDLE-JETSET-LG-FREQFLY,,
BUNDLE-MAKUP-HOM-LTBLU-TOWLB-CAB-XL-LTBLU,,
BUNDLE-MAKUP-HOM-LTGRN-TOWLB-CAB-XL-LTGRE,,
BUNDLE-MAKUP-HOM-LTPNK-TOWLB-CAB-XL-LTPNK,,
BUNDLE-MAKUP-HOM-NAVY-TOWLB-CAB-XL-NAVY,,
BUNDLE-MAKUP-HOM-TERRA-TOWLB-CAB-XL-ORANGE,,
BUNDLE-PAIRS-LG-CHKMATE,,
BUNDLE-PAIRS-LG-LTPNK,,
BUNDLE-PAIRS-LG-MIAMI,,
BUNDLE-PAIRS-LG-NAVY,,
BUNDLE-PICNIC-BOT-PALM-TOWLB-BOT-A-LG,,
BUNDLE-PICNIC-BOT-PALM-TOWLB-BOT-B-XL,,
BUNDLE-PICNIC-BOT-PALM-TOWLB-CAB-C-LG,,
BUNDLE-PICNIC-BOT-PALM-TOWLB-CAB-C-XL,,
BUNDLE-PICNIC-CAB-LTBGE-TOWLB-CAB-A-LG,,
BUNDLE-PICNIC-CAB-LTBGE-TOWLB-CAB-A-XL,,
BUNDLE-PICNIC-CAB-LTBGE-TOWLB-CAB-B-LG,,
BUNDLE-PICNIC-CAB-LTBGE-TOWLB-CAB-B-XL,,
BUNDLE-PICNIC-CAB-NAVY-TOWLB-CAB-A-LG,,
BUNDLE-PICNIC-CAB-NAVY-TOWLB-CAB-A-XL,,
BUNDLE-PICNIC-CAB-NAVY-TOWLB-CAB-B-LG,,
BUNDLE-PICNIC-CAB-NAVY-TOWLB-CAB-B-XL,,
BUNDLE-PICNIC-FAMILY-LGXL-GETWAV-SETA,,
BUNDLE-PICNIC-FAMILY-LGXL-GETWAV-SETB,,
BUNDLE-PICNIC-FAMILY-LGXL-GETWAV-SETC,,
BUNDLE-PICNIC-FAMILY-LGXL-GETWAV-SETD,,
BUNDLE-PICNIC-FAMILY-LGXL-GIN-PINK-SETA,,
BUNDLE-PICNIC-FAMILY-LGXL-GIN-PINK-SETB,,
BUNDLE-PICNIC-FAMILY-LGXL-GIN-PINK-SETC,,
BUNDLE-PICNIC-FAMILY-LGXL-GIN-PINK-SETD,,
BUNDLE-PICNIC-FAMILY-LGXL-GIN-PINK-SETE,,
BUNDLE-PICNIC-FAMILY-LGXL-NAVY-SETA,,
BUNDLE-PICNIC-FAMILY-LGXL-NAVY-SETB,,
BUNDLE-PICNIC-FAMILY-LGXL-NAVY-SETC,,
BUNDLE-PICNIC-FAMILY-LGXL-NAVY-SETD,,
BUNDLE-PICNIC-FAMILY-LGXL-NAVY-SETE,,
BUNDLE-PICNIC-FAMILY-LGXL-NAVY-SETF,,
BUNDLE-PICNIC-FAMILY-LGXL-NAVY-SETG,,
BUNDLE-PICNIC-FAMILY-MDLG-GETWAV-SETA,,
BUNDLE-PICNIC-FAMILY-MDLG-GETWAV-SETB,,
BUNDLE-PICNIC-FAMILY-MDLG-GETWAV-SETC,,
BUNDLE-PICNIC-FAMILY-MDLG-GETWAV-SETD,,
BUNDLE-PICNIC-FAMILY-MDLG-GIN-PINK-SETB,,
BUNDLE-PICNIC-FAMILY-MDLG-GIN-PINK-SETC,,
BUNDLE-PICNIC-FAMILY-MDLG-GIN-PINK-SETD,,
BUNDLE-PICNIC-FAMILY-MDLG-GIN-PINK-SETE,,
BUNDLE-PICNIC-FAMILY-MDLG-NAVY-SETA,,
BUNDLE-PICNIC-FAMILY-MDLG-NAVY-SETB,,
BUNDLE-PICNIC-FAMILY-MDLG-NAVY-SETC,,
BUNDLE-PICNIC-FAMILY-MDLG-NAVY-SETD,,
BUNDLE-PICNIC-FAMILY-MDLG-NAVY-SETE,,
BUNDLE-PICNIC-FAMILY-MDLG-NAVY-SETF,,
BUNDLE-PICNIC-FAMILY-MDLG-NAVY-SETG,,
BUNDLE-PICNIC-GIN-BLUE-TOWLB-CAB-A-LG,,
BUNDLE-PICNIC-GIN-BLUE-TOWLB-CAB-A-XL,,
BUNDLE-PICNIC-GIN-BLUE-TOWLB-CAB-B-LG,,
BUNDLE-PICNIC-GIN-BLUE-TOWLB-CAB-B-XL,,
BUNDLE-PICNIC-GIN-PINK-TOWLB-CAB-A-LG,,
BUNDLE-PICNIC-GIN-PINK-TOWLB-CAB-A-XL,,
BUNDLE-PICNIC-GIN-PINK-TOWLB-CAB-B-LG,,
BUNDLE-PICNIC-GIN-PINK-TOWLB-CAB-B-XL,,
BUNDLE-PICNIC-LG-FORECAST,,
BUNDLE-PICNIC-LG-LTPNK,,
BUNDLE-PICNIC-LG-NAVY,,
BUNDLE-PICNIC-LG-STRHYPE,,
BUNDLE-PICNIC-LG-SWTTTH,,
BUNDLE-PICNIC-LG-UNICN,,
BUNDLE-PICNIC-SGW-TOWLB-SGW-A-LG,,
BUNDLE-PICNIC-SGW-TOWLB-SGW-A-XL,,
BUNDLE-PICNIC-SGW-TOWLB-SUM-B-LG,,
BUNDLE-PICNIC-SGW-TOWLB-SUM-B-XL,,
BUNDLE-ROBE-HAIRW-CLA-NAVY,,
BUNDLE-ROBE-HAIRW-CLA-WHITE,,
BUNDLE-ROBE-HAIRW-RET-MONT,,
BUNDLE-ROBE-HAIRW-RET-SINH,,
BUNDLE-ROBE-HAIRW-TOWLH-LG-CLA-NAVY,,
BUNDLE-ROBE-HAIRW-TOWLH-LG-CLA-WHITE,,
BUNDLE-ROBE-HAIRW-TOWLH-LG-RET-MONT,,
BUNDLE-ROBE-HAIRW-TOWLH-LG-RET-SINH,,
BUNDLE-SELF-LTBLU1,Towel - Beach,Towel - Beach CORE
BUNDLE-SELF-NAVY1,Towel - Beach,Towel - Beach CORE
BUNDLE-SELF-TERRA1,Towel - Beach,Towel - Beach CORE
BUNDLE-STRP-SETA,Towel - Beach,Towel - Beach CORE
BUNDLE-STRP-SETB,Towel - Beach,Towel - Beach CORE
BUNDLE-STRP-SETC,Towel - Beach,Towel - Beach CORE
BUNDLE-STRP-SETD,Towel - Beach,Towel - Beach CORE
BUNDLE-SURFER-LG-LTPNK,,
BUNDLE-SURFER-LG-NAVY,,
BUNDLE-SWIM-SETA,Towel - Beach,Towel - Beach CORE
BUNDLE-SWIM-SETB,Towel - Beach,Towel - Beach CORE
BUNDLE-SWIM-SETC,Towel - Beach,Towel - Beach CORE
BUNDLE-TOWLB-CAB-LTPNK-X2-SETA,,
BUNDLE-TOWLB-CAB-LTPNK-X2-SETB,,
BUNDLE-TOWLB-CAB-LTPNK-X2-SETC,,
BUNDLE-TOWLB-CAB-LTPNK-X2-SETD,,
BUNDLE-TOWLB-CAB-LTPNK-X2-SETE,,
BUNDLE-TOWLB-CAB-NAVY-X2-SETA,,
BUNDLE-TOWLB-CAB-NAVY-X2-SETB,,
BUNDLE-TOWLB-CAB-NAVY-X2-SETC,,
BUNDLE-TOWLB-CAB-NAVY-X2-SETD,,
