SKU,Country Category,MonthsStock,FC-M1,FC-M2,FC-M3,FC-M4,FC-M5,FC-M6,FC-M7,FC-M8,FC-M9,FC-M10,FC-M11,FC-M12,P-M1,P-M2,P-M3,P-M4,P-M5,P-M6,P-M7,P-M8,P-M9,P-M10,P-M11,P-M12,G-M1,G-M2,G-M3,G-M4,G-M5,G-M6,G-M7,G-M8,G-M9,G-M10,G-M11,G-M12,FBA-M1,FBA-M2,FBA-M3,FBA-M4,FBA-M5,FBA-M6,FBA-M7,FBA-M8,FBA-M9,FBA-M10,FBA-M11,FBA-M12,B2B-M1,B2B-M2,B2B-M3,B2B-M4,B2B-M5,B2B-M6,B2B-M7,B2B-M8,B2B-M9,B2B-M10,B2B-M11,B2B-M12
SKU Header,Country Category,MonthsStock,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27
TOWLF-ESS-XL-BLUE-R,UK ILGTowel - Beach,9,15,19,65,38,8,31,6,4,13,19,29,38,,,,,,,,,,,,,387,339,316,274,260,248,274,260,248,184,60,25,17,22,17,7,4,4,6,1,4,6,10,18,10,32,25,10,15,11,8,8,51,105,6,7
TOWLF-ESS-XL-DKBLU,UK ILGTowel - Beach,1,95,115,107,58,38,114,85,19,30,99,40,66,,,,,,,,,,,,,-357,-458,-188,107,-31,-61,-21,59,29,0,0,0,116,99,61,32,28,41,51,0,0,0,0,0,11,2,25,11,15,11,11,11,20,18,80,1
TOWLF-ESS-XL-GREEN-R,UK ILGTowel - Beach,9,19,23,22,17,7,18,6,2,7,13,17,28,,,,,,,,,,,,,275,247,225,196,179,166,196,179,166,108,0,0,6,14,11,5,1,3,7,3,1,2,2,15,14,32,25,11,15,11,11,11,51,105,6,118
TOWLF-ESS-XL-GREY-R,UK ILGTowel - Beach,8,26,35,24,21,14,30,13,7,5,10,16,23,,,,,,,,,,,,,263,227,198,153,125,97,153,125,97,39,8,0,24,23,15,4,11,7,6,6,2,3,6,29,10,32,25,15,15,15,15,15,51,18,80,126
TOWLF-ESS-XL-LTPPL,UK ILGTowel - Beach,2,29,169,138,27,25,74,55,17,34,144,107,0,,,,,,,,,,,,,-164,-207,252,184,93,44,-62,183,134,28,0,0,13,29,35,6,11,33,32,23,21,30,42,0,10,32,25,10,15,11,9,9,51,105,6,192
TOWLF-ESS-XL-PINK-R,UK ILGTowel - Beach,1,20,23,19,16,11,13,5,2,5,14,21,29,,,,,,,,,,,,,-60,-90,4,37,18,2,37,18,2,0,0,0,9,25,10,3,2,4,5,23,21,7,6,10,13,32,25,14,15,14,14,14,51,60,0,0
TOWLH-CBH-LG-CREAM,UK ILGTowel - Home,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TOWLH-CBH-LG-FOAM,UK ILGTowel - Home,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TOWLH-CBH-LG-NAVY,UK ILGTowel - Home,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TOWLH-CBH-LG-PINK,UK ILGTowel - Home,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
