sku_channel,sku,channel,units_2024_01,units_2024_02,units_2024_03,units_2024_04,units_2024_05,units_2024_06,units_2024_07,units_2024_08,units_2024_09,units_2024_10,units_2024_11,units_2024_12,units_2025_01,units_2025_02,units_2025_03,units_2025_04,units_2025_05,units_2025_06,units_2025_07,units_2025_08,units_2025_09,units_2025_10,units_2025_11,units_2025_12,units_2026_01,units_2026_02,units_2026_03,units_2026_04,units_2026_05,units_2026_06,units_2026_07,units_2026_08,units_2026_09,units_2026_10,units_2026_11,units_2026_12,revenue_2024_01,revenue_2024_02,revenue_2024_03,revenue_2024_04,revenue_2024_05,revenue_2024_06,revenue_2024_07,revenue_2024_08,revenue_2024_09,revenue_2024_10,revenue_2024_11,revenue_2024_12,revenue_2025_01,revenue_2025_02,revenue_2025_03,revenue_2025_04,revenue_2025_05,revenue_2025_06,revenue_2025_07,revenue_2025_08,revenue_2025_09,revenue_2025_10,revenue_2025_11,revenue_2025_12,revenue_2026_01,revenue_2026_02,revenue_2026_03,revenue_2026_04,revenue_2026_05,revenue_2026_06,revenue_2026_07,revenue_2026_08,revenue_2026_09,revenue_2026_10,revenue_2026_11,revenue_2026_12
DOGTWL-CAB-LG-CORAL - B2B,DOGTWL-CAB-LG-CORAL,B2B,2,3,0,0,2,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.89,35.08,0,0,25.48,0,24.16,0,0,49.58,0,40.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-CAB-LG-CORAL - DTC,DOGTWL-CAB-LG-CORAL,DTC,39,44,13,16,19,10,32,82,19,10,130,128,8,0,9,7,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.84,603.38,250.36,310.42,330.17,180.6,578.29,1285.21,322.74,206.84,1884.92,1930.22,87.37,0,169.21,138,0,39.16,137.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-CAB-LG-CORAL - FBA,DOGTWL-CAB-LG-CORAL,FBA,0,0,3,3,0,0,0,1,0,1,0,1,0,1,2,0,3,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,24.17,0,19.33,0,24.17,0,24.17,42.34,0,62.15,152.71,77.32,54.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-CAB-LG-RAINB - B2B,DOGTWL-CAB-LG-RAINB,B2B,0,12,12,2,41,160,0,98,20,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.24,157.35,12.08,520.46,1932.8,0,1119.31,202.09,77.28,0,0,0,0,0,0,0,68.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-CAB-LG-RAINB - DTC,DOGTWL-CAB-LG-RAINB,DTC,3,3,7,8,5,5,7,12,12,14,14,6,2,15,7,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.42,57.39,145.25,154.39,91.84,84.54,151.75,251.87,217.21,265.89,234.3,118.08,33.83,279.53,123.72,0,0,156.48,74.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-CAB-LG-RAINB - FBA,DOGTWL-CAB-LG-RAINB,FBA,2,0,2,2,0,2,0,3,1,0,8,10,0,1,3,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.34,0,48.34,43.5,0,48.34,0,72.51,19.33,0,108.26,193.31,0,19.33,52.19,17.39,19.33,56.05,111.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-CAB-MD-CORAL - B2B,DOGTWL-CAB-MD-CORAL,B2B,9,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5,62.46,0,0,10.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-CAB-MD-CORAL - DTC,DOGTWL-CAB-MD-CORAL,DTC,41,15,5,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,484.2,163.22,84.17,0,0,80.56,0,0,0,0,0,0,0,33.34,0,0,0,0,0,0,131.49,193.17,194.39,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-CAB-MD-CORAL - FBA,DOGTWL-CAB-MD-CORAL,FBA,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83,0,16.67,20.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGTWL-CAB-MD-RAINB - B2B,DOGTWL-CAB-MD-RAINB,B2B,10,29,15,3,18,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.69,256.09,148.63,19.76,179.4,62.58,11.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
