Month,Action,Result,Branch,BranchId,Reference,CustomerOrderNo,Company,Stage,DispatchDate,InvoiceDateSet,Total,Currency
2026-07,UPDATE,ok,Amazon AU,16289,503-3033411-8855848,,[Redacted],Dispatched,2026-07-27,2026-07-27,46.1,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-1225421-5052608,,[Redacted],Dispatched,2026-07-27,2026-07-27,31.43,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-8524083-9627016,,[Redacted],Dispatched,2026-07-27,2026-07-27,31.43,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-1457710-9560634,,[Redacted],Dispatched,2026-07-27,2026-07-27,31.43,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-1604993-5056656,,[Redacted],Dispatched,2026-07-27,2026-07-27,29.86,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-1940613-5589459,,[Redacted],Dispatched,2026-07-27,2026-07-27,29.86,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-9609571-5909447,,[Redacted],Dispatched,2026-07-27,2026-07-27,27.37,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-5014304-0881439,,[Redacted],Dispatched,2026-07-27,2026-07-27,12.57,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-1254787-9412631,,[Redacted],Dispatched,2026-07-27,2026-07-27,34.05,AUD
2026-07,UPDATE,ok,?,23087,EU-47244,,,Dispatched,2026-07-27,2026-07-27,58.0434,EUR
2026-07,UPDATE,ok,Amazon AU,16289,503-0671025-5425408,,[Redacted],Dispatched,2026-07-26,2026-07-26,34.01,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-7470912-3987848,,[Redacted],Dispatched,2026-07-27,2026-07-27,31.43,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-0845974-5757453,,[Redacted],Dispatched,2026-07-26,2026-07-26,27.2,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-4505505-8735809,,[Redacted],Dispatched,2026-07-26,2026-07-26,31.39,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-5308214-8567836,,[Redacted],Dispatched,2026-07-26,2026-07-26,31.39,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-2061511-4659825,,[Redacted],Dispatched,2026-07-26,2026-07-26,28.77,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-3731110-1904658,,[Redacted],Dispatched,2026-07-26,2026-07-26,91.95,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-9499054-2338209,,[Redacted],Dispatched,2026-07-26,2026-07-26,28.77,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-3066716-5480643,,[Redacted],Dispatched,2026-07-26,2026-07-26,31.39,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-5483561-3865437,,[Redacted],Dispatched,2026-07-26,2026-07-26,44.23,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-7197183-9719824,,[Redacted],Dispatched,2026-07-25,2026-07-25,34.01,AUD
2026-07,UPDATE,ok,UK,5053,UK-865761,,,Dispatched,2026-07-25,2026-07-25,20,GBP
2026-07,UPDATE,ok,Amazon AU,16289,250-9013022-0319045,,[Redacted],Dispatched,2026-07-25,2026-07-25,31.42,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-3672328-2083835,,[Redacted],Dispatched,2026-07-26,2026-07-26,28.77,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-3332921-9604661,,[Redacted],Dispatched,2026-07-27,2026-07-27,12.57,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-1260236-3915832,,[Redacted],Dispatched,2026-07-25,2026-07-25,31.42,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-7799121-9508611,,[Redacted],Dispatched,2026-07-28,2026-07-28,20.61,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-4274715-1894223,,[Redacted],Dispatched,2026-07-25,2026-07-25,23.57,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-0921512-6446221,,[Redacted],Dispatched,2026-07-26,2026-07-26,28.77,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-3451057-9890240,,[Redacted],Dispatched,2026-07-25,2026-07-25,34.04,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-6860144-3695038,,[Redacted],Dispatched,2026-07-30,2026-07-30,31.24,AUD
